source_path	file name	resolution	dwi count(b0/dwi)	max b-value	DWI contrast	neighboring DWI correlation	neighboring DWI correlation(masked)
data-others/disease/oasis3	sub-OAS30491_ses-d0074_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.908009	0.881738	0.577188
data-others/disease/oasis3	sub-OAS30492_ses-d0090_dwi.sz	2 2 2 	4/44	1400.000000	0.944862	0.828419	0.614624
data-others/disease/oasis3	sub-OAS30492_ses-d1169_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.211394	0.986448	0.896809
data-others/disease/oasis3	sub-OAS30492_ses-d1169_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.900771	0.888284	0.601651
data-others/disease/oasis3	sub-OAS30492_ses-d2346_dwi.sz	2 2 2 	3/66	2000.000000	1.043543	0.966697	0.864993
data-others/disease/oasis3	sub-OAS30493_ses-d0608_dwi.sz	2 2 2 	4/44	1400.000000	0.939173	0.859176	0.688174
data-others/disease/oasis3	sub-OAS30494_ses-d4030_dwi.sz	2 2 2 	4/44	1400.000000	0.945899	0.875239	0.721163
data-others/disease/oasis3	sub-OAS30495_ses-d0052_dwi.sz	2 2 2 	4/44	1400.000000	0.938090	0.834648	0.613475
data-others/disease/oasis3	sub-OAS30496_ses-d0065_dwi.sz	2 2 2 	4/44	1400.000000	0.918462	0.825934	0.631592
data-others/disease/oasis3	sub-OAS30496_ses-d1150_dwi.sz	2 2 2 	4/44	1400.000000	0.933130	0.816092	0.625721
data-others/disease/oasis3	sub-OAS30496_ses-d2304_dwi.sz	2 2 2 	3/66	2000.000000	1.003852	0.936314	0.737283
data-others/disease/oasis3	sub-OAS30498_ses-d0132_dwi.sz	2 2 2 	4/44	1400.000000	0.939370	0.853694	0.619456
data-others/disease/oasis3	sub-OAS30499_ses-d0067_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.967355	0.905594	0.735429
data-others/disease/oasis3	sub-OAS30499_ses-d1164_dwi.sz	2 2 2 	4/44	1400.000000	0.902572	0.833066	0.613266
data-others/disease/oasis3	sub-OAS30499_ses-d2296_dwi.sz	2 2 2 	4/44	1400.000000	0.872796	0.804432	0.519065
data-others/disease/oasis3	sub-OAS30500_ses-d0093_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.975066	0.906435	0.762331
data-others/disease/oasis3	sub-OAS30500_ses-d1297_dwi.sz	2 2 2 	4/44	1400.000000	0.909552	0.869675	0.657426
data-others/disease/oasis3	sub-OAS30502_ses-d0395_dwi.sz	2 2 2 	4/44	1400.000000	0.954220	0.853243	0.664128
data-others/disease/oasis3	sub-OAS30502_ses-d1195_dwi.sz	2 2 2 	4/44	1400.000000	0.945549	0.870828	0.694535
data-others/disease/oasis3	sub-OAS30503_ses-d0000_dwi.sz	2 2 2 	4/44	1400.000000	0.904841	0.826114	0.655163
data-others/disease/oasis3	sub-OAS30505_ses-d5746_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.978419	0.895707	0.778518
data-others/disease/oasis3	sub-OAS30506_ses-d2206_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.957723	0.916529	0.719055
data-others/disease/oasis3	sub-OAS30507_ses-d0391_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	1.006184	0.944133	0.811371
